"","incomeChangeHH","age","profile_gender","profile_GOR","profile_socialgrade_cie","pastvote_ge_2019","approveUKGovt"
"1537","It hasn’t changed","44","Male","South East","D","Conservative","Neither approve nor disapprove"
"1538","It has decreased by less than a quarter","42","Female","South East","B","Liberal Democrat","Approve"
"1539","It is less than half what it was","63","Female","North West","C1","Labour","Strongly disapprove"
"1540","It is less than half what it was","54","Female","South West","C2","Conservative","Neither approve nor disapprove"
"1541","It has decreased by between a quarter and a half","39","Female","North West","C1","Labour","Strongly disapprove"
"1542","It hasn’t changed","52","Male","East of England","E","Labour","Disapprove"
"1543","It has decreased by between a quarter and a half","27","Female","East Midlands","C1","Liberal Democrat","Neither approve nor disapprove"
"1544","It hasn’t changed","75","Female","West Midlands","C1","Conservative","Neither approve nor disapprove"
"1545","It has increased","71","Female","Yorkshire and the Humber","C1","Liberal Democrat","Approve"
"1546","It hasn’t changed","73","Female","South West","C1",NA,"Neither approve nor disapprove"
"1547","It hasn’t changed","63","Male","South East","C2","Conservative","Approve"
"1548","It hasn’t changed","41","Female","South East","D","Labour","Strongly disapprove"
"1549","It hasn’t changed","46","Female","West Midlands","C1","Labour","Disapprove"
"1550","It hasn’t changed","66","Male","South West","E","Conservative","Strongly approve"
"1551","It hasn’t changed","47","Female","South East","B",NA,"Approve"
"1552","It hasn’t changed","70","Female","North West","C2","Conservative","Disapprove"
"1553","It has decreased by less than a quarter","46","Male","West Midlands","C2",NA,"Neither approve nor disapprove"
"1554","It hasn’t changed","76","Female","South East","C1","Conservative","Neither approve nor disapprove"
"1555","It hasn’t changed","46","Female","South East","C2","Labour","Disapprove"
"1556","It hasn’t changed","43","Male","North West","D","Labour","Approve"
"1557","It hasn’t changed","81","Female","North West","E","Labour","Disapprove"
"1558","It has decreased by less than a quarter","77","Female","Yorkshire and the Humber","E","Conservative","Disapprove"
"1559","It hasn’t changed","74","Female","West Midlands","C2","Conservative","Strongly approve"
"1560","It hasn’t changed","64","Female","East Midlands","C1",NA,"Strongly approve"
"1561","It has decreased by less than a quarter","44","Female","South East","B","Other","Neither approve nor disapprove"
"1562","It hasn’t changed","47","Female","West Midlands","E",NA,"Strongly approve"
"1563","It has decreased by less than a quarter","32","Female","South East","B","Labour","Strongly disapprove"
"1564","It has decreased by less than a quarter","43","Male","South East","B","Liberal Democrat","Strongly disapprove"
"1565","It hasn’t changed","54","Female","Scotland","C2","Scottish National Party (SNP)","Approve"
"1566","It hasn’t changed","63","Female","North West","C1","Labour","Neither approve nor disapprove"
"1567","It hasn’t changed","39","Female","London","C2","Labour","Strongly disapprove"
"1568","It hasn’t changed","75","Male","East Midlands","C2",NA,"Approve"
"1569","It has decreased by less than a quarter","24","Female","East Midlands","D","Labour","Disapprove"
"1570","It hasn’t changed","47","Male","Scotland","C1",NA,"Strongly disapprove"
"1571","It hasn’t changed","36","Male","West Midlands","C1","Labour","Neither approve nor disapprove"
"1572","It has decreased by less than a quarter","49","Female","South West","C1","Liberal Democrat","Disapprove"
"1573","It has decreased by less than a quarter","62","Male","London","C2",NA,"Approve"
"1574","It hasn’t changed","35","Female","Scotland","C1",NA,"Neither approve nor disapprove"
"1575","It hasn’t changed","65","Male","East of England","D","Green","Disapprove"
"1576","It hasn’t changed","63","Male","North East","A","Labour","Disapprove"
"1577","It has decreased by less than a quarter","67","Male","East of England","C2","Conservative","Disapprove"
"1578","It hasn’t changed","71","Male","Scotland","E","Conservative","Neither approve nor disapprove"
"1579","It hasn’t changed","69","Male","North East","D","Labour","Approve"
"1580","It has decreased by less than a quarter","46","Female","South West","A","Liberal Democrat","Approve"
"1581","It has decreased by less than a quarter","62","Male","Wales","C2","Conservative","Strongly approve"
"1582","It hasn’t changed","48","Male","Yorkshire and the Humber","C1","Labour","Strongly disapprove"
"1583","It has decreased by less than a quarter","27","Female","South East","B","Conservative","Approve"
"1584","It hasn’t changed","24","Female","London","B","Conservative","Approve"
"1585","It has decreased by less than a quarter","66","Female","South West","C2","Conservative","Approve"
"1586","Don’t know","43","Female","East Midlands","C1","Labour","Approve"
"1587","It has decreased by less than a quarter","52","Male","East Midlands","C1","Labour","Neither approve nor disapprove"
"1588","It hasn’t changed","67","Male","Scotland","E","Conservative","Neither approve nor disapprove"
"1589","It hasn’t changed","55","Female","Scotland","D","Conservative","Approve"
"1590","It hasn’t changed","46","Male","Scotland","C2","Liberal Democrat","Strongly disapprove"
"1591","It hasn’t changed","62","Male","West Midlands","B","Liberal Democrat","Approve"
"1592","It hasn’t changed","49","Female","West Midlands","A",NA,"Strongly disapprove"
"1593","It hasn’t changed","40","Female","East of England","E",NA,"Approve"
"1594","It has decreased by less than a quarter","75","Female","East of England","C1","Liberal Democrat","Approve"
"1595","It has increased","49","Male","London","C1","Brexit Party","Neither approve nor disapprove"
"1596","It has decreased by less than a quarter","58","Female","South West","C1","Conservative","Approve"
"1597","It hasn’t changed","68","Female","Scotland","E","Conservative","Neither approve nor disapprove"
"1598","It hasn’t changed","66","Male","West Midlands","C1","Conservative","Approve"
"1599","It hasn’t changed","38","Female","South East","E","Other","Approve"
"1600","It has decreased by between a quarter and a half","43","Female","East of England","C1","Other","Approve"
"1601","It hasn’t changed","70","Female","South West","C2","Conservative","Approve"
"1602","It hasn’t changed","78","Female","South West","A","Conservative","Approve"
"1603","It hasn’t changed","32","Female","West Midlands","C2","Labour","Neither approve nor disapprove"
"1604","It hasn’t changed","48","Male","Wales","B","Liberal Democrat","Disapprove"
"1605","It hasn’t changed","29","Female","East of England","D","Labour","Approve"
"1606","It is less than half what it was","46","Male","South East","C2","Conservative","Disapprove"
"1607","It hasn’t changed","35","Male","Scotland","C2","Labour","Approve"
"1608","It is less than half what it was","49","Female","East Midlands","E",NA,"Neither approve nor disapprove"
"1609","Don’t know","43","Female","Scotland","E",NA,"Strongly disapprove"
"1610","Don’t know","28","Female","North East","C1","Labour","Neither approve nor disapprove"
"1611","Don’t know","21","Female","London","A","Don't know","Neither approve nor disapprove"
"1612","It has decreased by less than a quarter","22","Female","South East","C1","Liberal Democrat","Strongly approve"
"1613","It has decreased by less than a quarter","62","Male","North West","D","Conservative","Disapprove"
"1614","It hasn’t changed","44","Male","South East","E",NA,"Strongly disapprove"
"1615","Don’t know","48","Female","South West","C1","Conservative","Approve"
"1616","It hasn’t changed","47","Female","South East","E","Conservative","Approve"
"1617","It hasn’t changed","73","Female","Yorkshire and the Humber","C2","Conservative","Neither approve nor disapprove"
"1618","It hasn’t changed","78","Female","North West","C2","Liberal Democrat","Approve"
"1619","It has decreased by less than a quarter","58","Female","East Midlands","E","Labour","Disapprove"
"1620","It has decreased by less than a quarter","59","Female","East Midlands","C2","Conservative","Approve"
"1621","It has decreased by between a quarter and a half","27","Female","South East","C1","Labour","Disapprove"
"1622","It hasn’t changed","51","Male","South East","D",NA,"Neither approve nor disapprove"
"1623","It hasn’t changed","67","Male","East of England","C2","Liberal Democrat","Disapprove"
"1624","It hasn’t changed","40","Female","East of England","D","Conservative","Strongly approve"
"1625","It is less than half what it was","22","Female","South East","C1","Liberal Democrat","Disapprove"
"1626","It hasn’t changed","73","Male","London","D","Conservative","Approve"
"1627","It has decreased by less than a quarter","49","Female","Yorkshire and the Humber","C2","Other","Neither approve nor disapprove"
"1628","It has decreased by less than a quarter","57","Female","Scotland","D","Liberal Democrat","Approve"
"1629","It hasn’t changed","49","Female","East of England","C2","Labour","Strongly approve"
"1630","It hasn’t changed","43","Male","East of England","C1","Liberal Democrat","Disapprove"
"1631","It has decreased by less than a quarter","32","Female","East of England","C2",NA,"Approve"
"1632","Don’t know","22","Female","Yorkshire and the Humber","C1","Labour","Disapprove"
"1633","It hasn’t changed","44","Male","West Midlands","C2","Conservative","Approve"
"1634","It hasn’t changed","36","Female","East of England","C1","Labour","Neither approve nor disapprove"
"1635","It has decreased by less than a quarter","34","Female","London","C1",NA,"Approve"
"1636","It has decreased by less than a quarter","38","Male","Yorkshire and the Humber","C2","Conservative","Approve"
"1637","It is less than half what it was","46","Male","West Midlands","C2","Conservative","Approve"
"1638","It hasn’t changed","24","Female","Yorkshire and the Humber","E","Labour","Disapprove"
"1639","It hasn’t changed","72","Male","Scotland","E","Conservative","Approve"
"1640","It has decreased by between a quarter and a half","24","Female","Scotland","C1","Labour","Disapprove"
"1641","It has increased","46","Male","London","C1",NA,"Neither approve nor disapprove"
"1642","It has increased","66","Male","North West","C1","Conservative","Approve"
"1643","It hasn’t changed","24","Male","East of England","D","Labour","Neither approve nor disapprove"
"1644","It has decreased by less than a quarter","23","Female","Wales","C2","Labour","Disapprove"
"1645","It hasn’t changed","40","Male","Scotland","C2","Labour","Disapprove"
"1646","It has decreased by less than a quarter","27","Male","London","B","Labour","Disapprove"
"1647","It hasn’t changed","37","Female","South East","C1",NA,"Approve"
"1648","It hasn’t changed","53","Female","East of England","E","Labour","Neither approve nor disapprove"
"1649","It hasn’t changed","48","Male","Yorkshire and the Humber","A","Labour","Approve"
"1650","It has increased","35","Female","East of England","E",NA,"Approve"
"1651","It has decreased by less than a quarter","26","Male","South East","B","Green","Neither approve nor disapprove"
"1652","It hasn’t changed","64","Female","South West","E","Conservative","Neither approve nor disapprove"
"1653","It hasn’t changed","68","Female","South East","B","Labour","Neither approve nor disapprove"
"1654","It hasn’t changed","72","Male","South East","C2","Liberal Democrat","Neither approve nor disapprove"
"1655","It hasn’t changed","40","Male","West Midlands","D",NA,"Neither approve nor disapprove"
"1656","It has increased","40","Male","West Midlands","E","Green","Neither approve nor disapprove"
"1657","It hasn’t changed","47","Female","South East","C1","Liberal Democrat","Approve"
"1658","It has decreased by less than a quarter","66","Female","West Midlands","C1","Liberal Democrat","Neither approve nor disapprove"
"1659","It has decreased by between a quarter and a half","28","Male","London","C1","Labour","Strongly disapprove"
"1660","It hasn’t changed","46","Female","South West","C2","Conservative","Strongly approve"
"1661","It hasn’t changed","42","Female","South East","A","Labour","Approve"
"1662","It hasn’t changed","35","Female","East of England","E","Labour","Disapprove"
"1663","It hasn’t changed","45","Male","East of England","C2","Green","Strongly disapprove"
"1664","It has decreased by between a quarter and a half","45","Male","West Midlands","C1","Labour","Approve"
"1665","It has decreased by less than a quarter","38","Male","Wales","C2","Labour","Disapprove"
"1666","It hasn’t changed","48","Female","South East","A","Conservative","Approve"
"1667","It hasn’t changed","64","Male","South West","C1","Conservative","Approve"
"1668","It has decreased by between a quarter and a half","68","Male","Scotland","A","Conservative","Approve"
"1669","It has increased","46","Male","North West","C2",NA,"Neither approve nor disapprove"
"1670","It hasn’t changed","52","Female","North West","D","Other","Neither approve nor disapprove"
"1671","It has decreased by less than a quarter","60","Female","North East","C1","Conservative","Strongly approve"
"1672","It has decreased by less than a quarter","48","Male","South West","C2","Conservative","Approve"
"1673","It hasn’t changed","38","Female","South West","A","Labour","Disapprove"
"1674","It hasn’t changed","30","Female","East of England","C1","Conservative","Disapprove"
"1675","It hasn’t changed","60","Male","East Midlands","B","Labour","Strongly disapprove"
"1676","Don’t know","37","Male","East of England","E","Liberal Democrat","Neither approve nor disapprove"
"1677","It hasn’t changed","26","Female","Yorkshire and the Humber","C1","Labour","Disapprove"
"1678","It hasn’t changed","45","Male","East Midlands","C2","Conservative","Disapprove"
"1679","Don’t know","32","Female","London","C1",NA,"Strongly disapprove"
"1680","It has decreased by less than a quarter","55","Female","South East","D","Labour","Neither approve nor disapprove"
"1681","It hasn’t changed","36","Male","East of England","B","Conservative","Approve"
"1682","It has increased","37","Male","London","C2",NA,"Neither approve nor disapprove"
"1683","It hasn’t changed","35","Male","East of England","C1","Conservative","Approve"
"1684","It has decreased by less than a quarter","47","Female","North West","C1","Labour","Approve"
"1685","It hasn’t changed","35","Female","South East","C2",NA,"Neither approve nor disapprove"
"1686","It hasn’t changed","49","Male","West Midlands","D",NA,"Approve"
"1687","It hasn’t changed","55","Male","Yorkshire and the Humber","E","Labour","Disapprove"
"1688","It has decreased by less than a quarter","48","Male","Wales","C1",NA,"Approve"
"1689","It is less than half what it was","35","Female","East of England","A","Conservative","Approve"
"1690","Don’t know","64","Male","South East","A","Liberal Democrat","Disapprove"
"1691","It has decreased by less than a quarter","23","Female","Wales","B","Plaid Cymru","Approve"
"1692","It has decreased by less than a quarter","62","Female","North West","C1","Liberal Democrat","Disapprove"
"1693","It has decreased by less than a quarter","73","Male","South East","D","Conservative","Strongly approve"
"1694","It hasn’t changed","46","Female","North West","A",NA,"Neither approve nor disapprove"
"1695","It hasn’t changed","36","Female","North East","B","Labour","Disapprove"
"1696","It has decreased by between a quarter and a half","56","Female","North West","C1","Conservative","Neither approve nor disapprove"
"1697","Don’t know","68","Female","East of England","A","Conservative","Approve"
"1698","It hasn’t changed","45","Male","South East","C1","Conservative","Approve"
"1699","It hasn’t changed","65","Male","East of England","A","Conservative","Strongly approve"
"1700","It hasn’t changed","69","Female","West Midlands","C1","Conservative","Approve"
"1701","It hasn’t changed","70","Male","East Midlands","C2","Conservative","Approve"
"1702","It hasn’t changed","48","Female","London","C1","Conservative","Approve"
"1703","It has decreased by less than a quarter","46","Female","West Midlands","C1","Conservative","Approve"
"1704","It has decreased by between a quarter and a half","53","Female","South East","A","Labour","Neither approve nor disapprove"
"1705","It has decreased by less than a quarter","38","Male","South West","C1","Conservative","Approve"
"1706","It hasn’t changed","65","Male","North East","D","Conservative","Approve"
"1707","It hasn’t changed","51","Male","Scotland","C1","Conservative","Strongly approve"
"1708","It is less than half what it was","33","Female","South West","A","Conservative","Neither approve nor disapprove"
"1709","It hasn’t changed","58","Female","Wales","D","Conservative","Strongly approve"
"1710","It hasn’t changed","72","Male","East Midlands","C1","Conservative","Strongly approve"
"1711","It hasn’t changed","78","Male","Scotland","C1",NA,"Approve"
"1712","It hasn’t changed","83","Male","East of England","C1","Labour","Neither approve nor disapprove"
"1713","It hasn’t changed","57","Male","South East","A","Liberal Democrat","Neither approve nor disapprove"
"1714","It hasn’t changed","75","Female","North West","C1","Labour","Strongly disapprove"
"1715","It has increased","71","Male","North West","D","Conservative","Approve"
"1716","It hasn’t changed","73","Female","South East","E","Conservative","Approve"
"1717","It hasn’t changed","41","Female","East of England","B","Liberal Democrat","Neither approve nor disapprove"
"1718","It hasn’t changed","68","Male","North East","C2","Liberal Democrat","Neither approve nor disapprove"
"1719","It hasn’t changed","73","Female","Scotland","C1","Scottish National Party (SNP)","Strongly disapprove"
"1720","It hasn’t changed","70","Female","South East","C1","Conservative","Approve"
"1721","It is less than half what it was","64","Female","South West","C1","Conservative","Strongly approve"
"1722","It hasn’t changed","67","Female","East of England","C2",NA,"Neither approve nor disapprove"
"1723","It hasn’t changed","25","Female","South West","C2","Labour","Strongly disapprove"
"1724","It hasn’t changed","72","Female","London","B","Labour","Disapprove"
"1725","It hasn’t changed","64","Female","South East","B","Liberal Democrat","Approve"
"1726","It hasn’t changed","40","Female","North West","C1","Labour","Strongly disapprove"
"1727","It hasn’t changed","68","Female","South West","C1","Green","Neither approve nor disapprove"
"1728","It has increased","65","Male","North West","C2","Conservative","Strongly approve"
"1729","It has decreased by less than a quarter","65","Female","West Midlands","C2","Labour","Disapprove"
"1730","It has decreased by less than a quarter","60","Female","London","A","Conservative","Strongly approve"
"1731","It hasn’t changed","33","Female","North West","D","Labour","Neither approve nor disapprove"
"1732","It has decreased by less than a quarter","67","Female","North West","B","Conservative","Neither approve nor disapprove"
"1733","It hasn’t changed","42","Male","London","B","Liberal Democrat","Disapprove"
"1734","It has decreased by less than a quarter","70","Male","South West","C1","Liberal Democrat","Strongly disapprove"
"1735","It hasn’t changed","35","Male","Scotland","C1","Labour","Strongly disapprove"
"1736","Don’t know","72","Male","East of England","B",NA,"Approve"
"1737","It hasn’t changed","44","Male","London","B",NA,"Approve"
"1738","It hasn’t changed","82","Female","East of England","C1","Liberal Democrat","Neither approve nor disapprove"
"1739","It has decreased by less than a quarter","72","Female","East Midlands","A","Conservative","Approve"
"1740","It has increased","34","Male","North West","C2","Labour","Disapprove"
"1741","It hasn’t changed","36","Female","Yorkshire and the Humber","E","Labour","Strongly disapprove"
"1742","It hasn’t changed","29","Female","North West","D","Labour","Disapprove"
"1743","It has decreased by less than a quarter","31","Female","London","A",NA,"Approve"
"1744","It is less than half what it was","62","Female","North West","C2","Labour","Approve"
"1745","It hasn’t changed","71","Female","Yorkshire and the Humber","C1","Conservative","Strongly approve"
"1746","It has decreased by less than a quarter","29","Female","South West","D",NA,"Neither approve nor disapprove"
"1747","It hasn’t changed","69","Female","South West","B","Liberal Democrat","Approve"
"1748","It has increased","23","Female","Scotland","B",NA,"Approve"
"1749","It hasn’t changed","55","Female","East Midlands","A","Labour","Neither approve nor disapprove"
"1750","It is less than half what it was","34","Female","West Midlands","C1",NA,"Neither approve nor disapprove"
"1751","It hasn’t changed","30","Female","South West","C2",NA,"Approve"
"1752","It has decreased by less than a quarter","31","Male","Yorkshire and the Humber","B","Labour","Approve"
"1753","It hasn’t changed","69","Female","East Midlands","B","Liberal Democrat","Neither approve nor disapprove"
"1754","It has decreased by between a quarter and a half","35","Male","North East","C2","Labour","Neither approve nor disapprove"
"1755","It hasn’t changed","48","Male","London","C1","Labour","Disapprove"
"1756","It hasn’t changed","64","Female","Scotland","C1","Scottish National Party (SNP)","Approve"
"1757","It hasn’t changed","32","Male","East Midlands","B","Conservative","Approve"
"1758","It has decreased by less than a quarter","39","Female","East of England","B","Labour","Strongly disapprove"
"1759","It has decreased by less than a quarter","66","Male","Wales","E","Conservative","Approve"
"1760","It hasn’t changed","40","Male","West Midlands","A",NA,"Approve"
"1761","It hasn’t changed","39","Male","West Midlands","D","Conservative","Approve"
"1762","It hasn’t changed","49","Male","Yorkshire and the Humber","D","Labour","Neither approve nor disapprove"
"1763","It has decreased by less than a quarter","77","Female","South East","A","Conservative","Disapprove"
"1764","It hasn’t changed","42","Female","North West","A",NA,"Disapprove"
"1765","It has decreased by less than a quarter","54","Female","South West","C1","Liberal Democrat","Neither approve nor disapprove"
"1766","Don’t know","30","Female","East Midlands","D",NA,"Neither approve nor disapprove"
"1767","It hasn’t changed","72","Male","East of England","D","Conservative","Approve"
"1768","It hasn’t changed","50","Female","East Midlands","B","Labour","Approve"
"1769","It has decreased by less than a quarter","22","Female","Wales","C1","Labour","Neither approve nor disapprove"
"1770","It hasn’t changed","67","Male","East Midlands","C2","Conservative","Neither approve nor disapprove"
"1771","It hasn’t changed","37","Female","West Midlands","D","Labour","Disapprove"
"1772","It hasn’t changed","66","Male","South East","C2","Conservative","Approve"
"1773","It is less than half what it was","22","Female","London","A","Labour","Strongly disapprove"
"1774","It hasn’t changed","75","Female","Yorkshire and the Humber","C1","Labour","Neither approve nor disapprove"
"1775","It hasn’t changed","34","Female","Scotland","D",NA,"Approve"
"1776","It hasn’t changed","72","Female","West Midlands","E",NA,"Disapprove"
"1777","It is less than half what it was","26","Male","London","C1","Labour","Strongly disapprove"
"1778","It has decreased by between a quarter and a half","30","Female","South West","B",NA,"Neither approve nor disapprove"
"1779","Don’t know","48","Female","West Midlands","C2",NA,"Neither approve nor disapprove"
"1780","It hasn’t changed","40","Female","Yorkshire and the Humber","B","Labour","Approve"
"1781","It has decreased by less than a quarter","21","Female","South East","B","Liberal Democrat","Approve"
"1782","It hasn’t changed","44","Male","South East","C1","Liberal Democrat","Approve"
"1783","It hasn’t changed","65","Female","North West","C1","Labour","Neither approve nor disapprove"
"1784","It has decreased by less than a quarter","68","Female","East Midlands","C1","Conservative","Neither approve nor disapprove"
"1785","It hasn’t changed","23","Female","West Midlands","D","Labour","Neither approve nor disapprove"
"1786","It has decreased by between a quarter and a half","27","Female","London","D","Labour","Strongly disapprove"
"1787","It has decreased by less than a quarter","24","Female","East of England","C2","Conservative","Strongly approve"
"1788","It has decreased by less than a quarter","23","Male","Wales","C2","Conservative","Approve"
"1789","It has decreased by between a quarter and a half","48","Male","South West","D","Labour","Disapprove"
"1790","It has decreased by less than a quarter","19","Male","Scotland","C1","Conservative","Approve"
"1791","It has decreased by between a quarter and a half","58","Male","West Midlands","E","Labour","Disapprove"
"1792","It has decreased by less than a quarter","21","Male","East Midlands","B",NA,"Strongly disapprove"
"1793","Don’t know","32","Male","South West","B",NA,"Neither approve nor disapprove"
"1794","It hasn’t changed","37","Male","East Midlands","E","Labour","Disapprove"
"1795","It has decreased by less than a quarter","22","Female","South East","B","Labour","Neither approve nor disapprove"
"1796","It hasn’t changed","75","Female","South West","C1","Liberal Democrat","Disapprove"
"1797","It has decreased by between a quarter and a half","23","Female","South West","C2","Labour","Approve"
"1798","It has decreased by less than a quarter","54","Male","West Midlands","B","Labour","Approve"
"1799","It has decreased by between a quarter and a half","36","Male","Yorkshire and the Humber","C2","Labour","Strongly disapprove"
"1800","Don’t know","26","Female","South East","C1","Labour","Neither approve nor disapprove"
"1801","It hasn’t changed","75","Male","Wales","E","Conservative","Strongly disapprove"
"1802","It has decreased by less than a quarter","24","Male","Yorkshire and the Humber","A","Liberal Democrat","Neither approve nor disapprove"
"1803","Don’t know","48","Male","North West","D",NA,"Strongly approve"
"1804","It has decreased by less than a quarter","22","Female","East of England","D","Labour","Disapprove"
"1805","It has decreased by between a quarter and a half","28","Female","East of England","D",NA,"Approve"
"1806","It hasn’t changed","38","Male","South East","B",NA,"Strongly disapprove"
"1807","It hasn’t changed","43","Female","Yorkshire and the Humber","B","Conservative","Disapprove"
"1808","It hasn’t changed","73","Female","North West","E","Conservative","Approve"
"1809","It hasn’t changed","47","Male","South East","C1","Green","Approve"
"1810","It has decreased by less than a quarter","74","Male","Yorkshire and the Humber","C1","Brexit Party","Approve"
"1811","It hasn’t changed","42","Female","South East","C1","Labour","Disapprove"
"1812","It has decreased by less than a quarter","31","Female","London","A",NA,"Neither approve nor disapprove"
"1813","It hasn’t changed","50","Female","East of England","E","Labour","Strongly disapprove"
"1814","It hasn’t changed","73","Male","East Midlands","E",NA,"Neither approve nor disapprove"
"1815","It has decreased by less than a quarter","46","Male","East of England","C1","Liberal Democrat","Approve"
"1816","It is less than half what it was","36","Male","London","B","Labour","Strongly disapprove"
"1817","It is less than half what it was","30","Female","Wales","C1",NA,"Neither approve nor disapprove"
"1818","It hasn’t changed","64","Male","London","B","Liberal Democrat","Approve"
"1819","It has increased","65","Male","North East","A","Conservative","Approve"
"1820","It is less than half what it was","22","Male","West Midlands","C2","Labour","Approve"
"1821","It has decreased by less than a quarter","70","Male","London","C2","Conservative","Approve"
"1822","It hasn’t changed","43","Male","London","E","Labour","Disapprove"
"1823","It has decreased by between a quarter and a half","23","Male","East Midlands","B",NA,"Neither approve nor disapprove"
"1824","It is less than half what it was","34","Female","South West","C1",NA,"Neither approve nor disapprove"
"1825","Don’t know","49","Female","East Midlands","D",NA,"Neither approve nor disapprove"
"1826","It hasn’t changed","21","Male","West Midlands","C2","Green","Approve"
"1827","It hasn’t changed","33","Male","Scotland","A","Scottish National Party (SNP)","Strongly disapprove"
"1828","It hasn’t changed","73","Male","East Midlands","C2","Conservative","Approve"
"1829","It hasn’t changed","23","Female","London","C1","Labour","Disapprove"
"1830","Don’t know","35","Female","West Midlands","E",NA,"Approve"
"1831","Don’t know","35","Male","South West","D","Labour","Strongly disapprove"
"1832","It has decreased by between a quarter and a half","49","Female","South East","C2",NA,"Neither approve nor disapprove"
"1833","It has decreased by less than a quarter","40","Male","East Midlands","B","Labour","Approve"
"1834","It hasn’t changed","30","Female","South West","A","Conservative","Approve"
"1835","It hasn’t changed","24","Female","South West","C2","Labour","Approve"
"1836","Don’t know","24","Male","East Midlands","C1","Conservative","Neither approve nor disapprove"
"1837","It is less than half what it was","23","Female","South East","C1","Labour","Strongly disapprove"
"1838","It has increased","41","Female","East Midlands","C1","Conservative","Neither approve nor disapprove"
"1839","Don’t know","48","Male","East of England","E","Conservative","Neither approve nor disapprove"
"1840","It has decreased by less than a quarter","46","Female","North West","C2","Conservative","Approve"
"1841","It hasn’t changed","41","Male","East Midlands","D",NA,"Neither approve nor disapprove"
"1842","It has decreased by less than a quarter","38","Female","South West","A","Conservative","Approve"
"1843","Don’t know","33","Female","London","E","Labour","Neither approve nor disapprove"
"1844","It hasn’t changed","59","Male","London","C1","Brexit Party","Approve"
"1845","It hasn’t changed","65","Male","North East","B","Conservative","Approve"
"1846","It has decreased by less than a quarter","52","Male","West Midlands","D","Conservative","Strongly approve"
"1847","Don’t know","72","Female","South East","C1","Labour","Strongly approve"
"1848","Don’t know","46","Male","Yorkshire and the Humber","D",NA,"Approve"
"1849","It has decreased by less than a quarter","22","Female","South East","A","Green","Neither approve nor disapprove"
"1850","It hasn’t changed","73","Female","East Midlands","C1","Other","Approve"
"1851","It hasn’t changed","80","Female","East of England","C2","Conservative","Approve"
"1852","It hasn’t changed","30","Female","Yorkshire and the Humber","D","Conservative","Neither approve nor disapprove"
"1853","It has decreased by less than a quarter","49","Male","North East","C2","Liberal Democrat","Approve"
"1854","It has decreased by less than a quarter","46","Female","North West","C2","Labour","Neither approve nor disapprove"
"1855","Don’t know","33","Female","East Midlands","D","Conservative","Approve"
"1856","It hasn’t changed","70","Female","South West","B","Conservative","Approve"
"1857","It hasn’t changed","60","Female","East Midlands","C2","Labour","Neither approve nor disapprove"
"1858","It has increased","27","Female","London","B",NA,"Strongly disapprove"
"1859","It hasn’t changed","73","Male","West Midlands","C1",NA,"Neither approve nor disapprove"
"1860","It hasn’t changed","56","Female","North West","C2",NA,"Neither approve nor disapprove"
"1861","It hasn’t changed","34","Female","South East","C2",NA,"Approve"
"1862","It has decreased by between a quarter and a half","48","Male","North West","B","Labour","Strongly disapprove"
"1863","It hasn’t changed","80","Male","North West","C2","Labour","Disapprove"
"1864","It is less than half what it was","48","Female","North West","C2",NA,"Neither approve nor disapprove"
"1865","It hasn’t changed","20","Female","South West","C1","Other","Disapprove"
"1866","It has decreased by less than a quarter","50","Female","Yorkshire and the Humber","D",NA,"Strongly approve"
"1867","It has decreased by less than a quarter","69","Female","North West","C2","Conservative","Approve"
"1868","It hasn’t changed","44","Female","South East","B","Conservative","Approve"
"1869","It hasn’t changed","65","Male","Scotland","E","Scottish National Party (SNP)","Approve"
"1870","It hasn’t changed","28","Male","London","D","Conservative","Approve"
"1871","It has increased","33","Female","West Midlands","E",NA,"Approve"
"1872","It hasn’t changed","50","Female","North West","D","Green","Neither approve nor disapprove"
"1873","It has decreased by less than a quarter","22","Male","Wales","C1","Labour","Disapprove"
"1874","Don’t know","24","Male","Yorkshire and the Humber","B",NA,"Neither approve nor disapprove"
"1875","It hasn’t changed","24","Male","South West","A","Labour","Disapprove"
"1876","It hasn’t changed","72","Male","East of England","B","Conservative","Approve"
"1877","It hasn’t changed","44","Male","Yorkshire and the Humber","D","Labour","Approve"
"1878","It hasn’t changed","73","Male","South West","C2","Conservative","Approve"
"1879","It hasn’t changed","51","Male","Wales","D",NA,"Neither approve nor disapprove"
"1880","It hasn’t changed","73","Female","North West","E","Conservative","Approve"
"1881","It hasn’t changed","55","Male","Wales","B","Labour","Strongly disapprove"
"1882","Don’t know","29","Male","West Midlands","E","Labour","Neither approve nor disapprove"
"1883","It hasn’t changed","73","Male","South East","C1","Conservative","Approve"
"1884","It hasn’t changed","37","Female","North East","C1","Labour","Disapprove"
"1885","It has decreased by less than a quarter","41","Female","West Midlands","C2","Liberal Democrat","Approve"
"1886","It hasn’t changed","32","Male","South East","A","Labour","Disapprove"
"1887","It is less than half what it was","56","Female","East of England","E","Conservative","Approve"
"1888","It is less than half what it was","49","Male","Yorkshire and the Humber","C1",NA,"Strongly disapprove"
"1889","It hasn’t changed","38","Male","South West","C2",NA,"Neither approve nor disapprove"
"1890","It is less than half what it was","52","Male","North East","C1",NA,"Strongly disapprove"
"1891","It hasn’t changed","53","Male","Yorkshire and the Humber","C1","Labour","Strongly disapprove"
"1892","Don’t know","36","Male","North West","E",NA,"Neither approve nor disapprove"
